"","LAKE","lakename","latdegminsec","longdegminsec","latdecim","longdecim"
"79","SK13","LacduBois","50.48.0","-120.27.4",50.8,-120.451111111111
"80","SK14","McQueenPond","50.48.3","-120.26.9",50.8008333333333,-120.435833333333
"81","SK15","Separation","50.34.8","-120.17.5",50.5688888888889,-120.284722222222
"82","SK16","EastBeresford","50.35.0","-120.15.0",50.5833333333333,-120.25
"83","SK17","WestBeresford","50.35.5","-120.15.5",50.5847222222222,-120.251388888889
"84","SK18","Lyons","50.53.4","-120.11.2",50.8844444444444,-120.183888888889
"85","SK19","LittleHeffley","50.50.6","-120.6.6",50.835,-120.101666666667
"86","SK20","Knouff","50.59.4","-120.7.3",50.9844444444444,-120.1175
"87","SK21","UpperBase","50.37.2","-120.3.0",50.6172222222222,-120.05
"88","SK22","Disdero","50.32.5","-120.0.0",50.5347222222222,-120
"89","SK23","Curry","50.34.7","-120.5.2",50.5686111111111,-120.083888888889
"90","SK24","Scuitto","50.32.9","-120.8.2",50.5358333333333,-120.133888888889
"91","SK25","Hosli","50.30.5","-120.8.8",50.5013888888889,-120.135555555556
"92","SK26","Ussher","50.30.5","-120.17.7",50.5013888888889,-120.285277777778
"93","SK27","noname23","50.47.9","-120.24.3",50.7858333333333,-120.400833333333
"94","SK28","noname24","50.47.8","-120.24.4",50.7855555555556,-120.401111111111
"95","SK29","Long","50.47.0","-120.24.4",50.7833333333333,-120.401111111111
"96","SK30","SouthwestofLong","50.46.1","-120.25.5",50.7669444444444,-120.418055555556
"97","SK31","Pass","50.50.5","-120.28.4",50.8347222222222,-120.467777777778
"98","SK32","NorthofKnutsford","50.35.3","-120.18.8",50.5841666666667,-120.302222222222
"99","SK33","NortheastofBeresford","50.36.2","-120.14.7",50.6005555555556,-120.235277777778
"100","SK34","Flat","50.31.6","-120.18.8",50.5183333333333,-120.302222222222
"101","SK35","Edith","50.34.3","-120.20.9",50.5675,-120.335833333333
"102","SK36","McLeod","50.33.0","-120.19.2",50.55,-120.317222222222
"103","SK37","NorthwestofEdith","50.34.9","-120.23.4",50.5691666666667,-120.384444444444
"104","SK38","Stake","50.30.9","-120.28.5",50.5025,-120.468055555556
"105","SK39","McConnell","50.31.4","-120.27.3",50.5177777777778,-120.450833333333
"106","SK40","NorthofTimber","50.36.2","-120.28.2",50.6005555555556,-120.467222222222
"107","SK41","Bower","50.39.9","-120.26.2",50.6525,-120.433888888889
"108","SK42","LB2Pond","50.47.4","-120.27.2",50.7844444444444,-120.450555555556
"109","SK43","WSWofMcQueen","50.49.4","-120.27.3",50.8177777777778,-120.450833333333
"110","SK44","WestofDeep","50.47.7","-120.22.0",50.7852777777778,-120.366666666667
"111","SK45","noname25","50.47.4","-120.21.3",50.7844444444444,-120.350833333333
